requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,few_shot_cot,238,116,0.48739495798319327,0.4245974833448165,0.5505928891965493,9.651280712414565,57.62053298950195,,25.165413409939404
qwen3_8b,qwen3_8b,arc_challenge,few_shot_cot,238,125,0.5252100840336135,0.46187109244147023,0.587748162475798,4.888625083256419,15.256451606750488,,48.936596677462326
gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,zero_shot,238,225,0.9453781512605042,0.9088023203717762,0.9678045164999612,3.433008142160017,48.06737232208252,,19.95087110456166
gemma_4_e2b,gemma_4_e2b,arc_challenge,zero_shot,238,183,0.7689075630252101,0.7113369470216023,0.8179351054292582,1.378750864259836,9.543148517608644,,31.129819588335668
gemma_4_e4b,gemma_4_e4b,arc_challenge,zero_shot,238,214,0.8991596638655462,0.8543418311324636,0.9312963717242823,0.15401496187228114,14.89453125,,25.383512818963897
phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,zero_shot,238,65,0.27310924369747897,0.22044217983477005,0.33298452590981636,4.0890406780571,7.145148277282715,,62.61177303815765
phi_4_reasoning,phi_4_reasoning,arc_challenge,zero_shot,238,72,0.3025210084033613,0.2476789498084673,0.36363688667293204,4.853044421482487,27.305460929870605,,52.09277287763247
qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,zero_shot,238,99,0.41596638655462187,0.3551658775020451,0.47943660610706096,9.604590953914684,57.62053298950195,,25.978874151916383
qwen3_8b,qwen3_8b,arc_challenge,zero_shot,238,106,0.44537815126050423,0.3835995445125284,0.5088920698333905,4.896809507349209,15.256451606750488,,47.48313737726241
gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,cot,238,186,0.7815126050420168,0.7247691189893162,0.8293125609201784,11.616669082951521,48.06737232208252,,21.807476266449683
gemma_4_e2b,gemma_4_e2b,gsm8k,cot,238,163,0.6848739495798319,0.6233121663218255,0.7405623697381409,5.015051602127672,9.543148517608644,,31.93651093254118
gemma_4_e4b,gemma_4_e4b,gsm8k,cot,238,188,0.7899159663865546,0.7337620298546615,0.8368594016939223,5.076014881969249,14.89453125,,25.71001305853882
phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,cot,238,50,0.21008403361344538,0.1631405983060777,0.2662379701453384,8.43264565148837,7.145148277282715,,60.718816844188254
phi_4_reasoning,phi_4_reasoning,gsm8k,cot,238,2,0.008403361344537815,0.002307489575779127,0.03011703953749171,9.810218752510533,27.305460929870605,,52.19171084936697
qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,cot,238,180,0.7563025210084033,0.6979699621783712,0.8064924628138551,14.414511300169496,57.62053298950195,,25.7155952749119
