source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
journal_full500_v1__gemma_4_26b_a4b__gsm8k__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,zero_shot,500,390,0.78,0.7416313019131544,0.8140990674283763,8.297185954801739,48.06737232208252,186.734,22.362254057192345
journal_full500_v1__gemma_4_e2b__gsm8k__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,zero_shot,500,337,0.674,0.6317220455546273,0.7136246839647526,4.759527879104018,9.543148517608644,150.874,31.708755568739463
journal_full500_v1__gemma_4_e4b__gsm8k__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,zero_shot,500,386,0.772,0.7332341279039163,0.8066182308849994,4.985334709137678,14.89453125,130.956,26.283707980058058
journal_full500_v1__phi_4_mini_reasoning__gsm8k__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,zero_shot,500,75,0.15,0.12137595769138818,0.1839610806316984,8.04190700455755,7.145148277282715,512.0,63.66817579170967
journal_full500_v1__phi_4_reasoning__gsm8k__zero_shot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,zero_shot,500,16,0.032,0.01979151362657112,0.05134486904544179,9.781309348359704,27.305460929870605,511.978,52.343494116187856
journal_full500_v1__qwen3_30b_a3b__gsm8k__zero_shot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,zero_shot,500,376,0.752,0.7123215407533253,0.7878357916540525,14.26921700502187,57.67326736450195,371.848,26.042068780769917
journal_full500_v1__qwen3_8b__gsm8k__zero_shot__n500.csv,qwen3_8b,qwen3_8b,gsm8k,zero_shot,500,385,0.77,0.7311377813252322,0.8047450748255296,6.876031743504107,15.256451606750488,337.836,49.127490705256726
journal_full500_v1__gemma_4_26b_a4b__math_l1_l3__cot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,cot,238,153,0.6428571428571429,0.5801559225686732,0.7010200194372693,16.978726258517064,48.06737232208252,384.20168067226894,22.61004172369364
journal_full500_v1__gemma_4_e2b__math_l1_l3__cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,cot,238,138,0.5798319327731093,0.5163430775949396,0.6407846547024989,11.005989051713538,9.543148517608644,344.2226890756302,31.515796313757377
journal_full500_v1__gemma_4_e4b__math_l1_l3__cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,cot,238,159,0.6680672268907563,0.6059879927587606,0.7248072331305833,10.586130954653902,14.89453125,278.38655462184875,26.54301645191937
journal_full500_v1__phi_4_mini_reasoning__math_l1_l3__cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,cot,238,53,0.22268907563025211,0.1744732494626701,0.2797146278199123,16.252215263269402,7.145148277282715,1024.0,63.00766828405308
journal_full500_v1__phi_4_reasoning__math_l1_l3__cot__n238.csv,phi_4_reasoning,phi_4_reasoning,math_l1_l3,cot,238,3,0.012605042016806723,0.004295942301498941,0.03639790261940344,19.179345983526662,27.305460929870605,1017.218487394958,53.03729898323239
