scheme,requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.5991294117647059,13.86488393321012,57.67155838012695,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6927294117647059,13.86488393321012,57.67155838012695,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6494235294117647,13.86488393321012,57.67155838012695,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.8119294117647059,13.86488393321012,57.67155838012695,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.6445490196078432,13.86488393321012,57.67155838012695,
paper_original,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6568521008403362,14.622455461955026,57.67253494262695,
equal_weights,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6817100840336134,14.622455461955026,57.67253494262695,
arc_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.5615680672268908,14.622455461955026,57.67253494262695,
gsm8k_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6719680672268907,14.622455461955026,57.67253494262695,
math_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6266201680672269,14.622455461955026,57.67253494262695,
truthfulqa_heavy,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.8039680672268907,14.622455461955026,57.67253494262695,
no_truthfulqa_renorm,qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.6198356676003735,14.622455461955026,57.67253494262695,
paper_original,qwen3_8b,qwen3_8b,cot,0.5461697478991597,7.790597819259688,15.256451606750488,
equal_weights,qwen3_8b,qwen3_8b,cot,0.5814747899159664,7.790597819259688,15.256451606750488,
arc_heavy,qwen3_8b,qwen3_8b,cot,0.4597798319327731,7.790597819259688,15.256451606750488,
gsm8k_heavy,qwen3_8b,qwen3_8b,cot,0.5989798319327732,7.790597819259688,15.256451606750488,
math_heavy,qwen3_8b,qwen3_8b,cot,0.44054957983193277,7.790597819259688,15.256451606750488,
truthfulqa_heavy,qwen3_8b,qwen3_8b,cot,0.7309798319327732,7.790597819259688,15.256451606750488,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,cot,0.4968552754435107,7.790597819259688,15.256451606750488,
paper_original,qwen3_8b,qwen3_8b,few_shot_cot,0.7203781512605043,7.113328113028764,15.256451606750488,
equal_weights,qwen3_8b,qwen3_8b,few_shot_cot,0.7393151260504202,7.113328113028764,15.256451606750488,
arc_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.6452521008403361,7.113328113028764,15.256451606750488,
gsm8k_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.7364521008403362,7.113328113028764,15.256451606750488,
math_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.6882302521008403,7.113328113028764,15.256451606750488,
truthfulqa_heavy,qwen3_8b,qwen3_8b,few_shot_cot,0.8364521008403362,7.113328113028764,15.256451606750488,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,few_shot_cot,0.6908646125116713,7.113328113028764,15.256451606750488,
paper_original,qwen3_8b,qwen3_8b,zero_shot,0.546764705882353,7.406407979509285,15.256451606750488,
equal_weights,qwen3_8b,qwen3_8b,zero_shot,0.5854705882352941,7.406407979509285,15.256451606750488,
arc_heavy,qwen3_8b,qwen3_8b,zero_shot,0.49337647058823536,7.406407979509285,15.256451606750488,
gsm8k_heavy,qwen3_8b,qwen3_8b,zero_shot,0.6031764705882353,7.406407979509285,15.256451606750488,
math_heavy,qwen3_8b,qwen3_8b,zero_shot,0.4339411764705883,7.406407979509285,15.256451606750488,
truthfulqa_heavy,qwen3_8b,qwen3_8b,zero_shot,0.7165764705882353,7.406407979509285,15.256451606750488,
no_truthfulqa_renorm,qwen3_8b,qwen3_8b,zero_shot,0.5006274509803921,7.406407979509285,15.256451606750488,
