dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
gsm8k,cot,gemma_4_26b_a4b,qwen3_8b,500,0.754,0.776,78,67,0.6896551724137931,0.4063680513593654
gsm8k,cot,gemma_4_e2b,gemma_4_e4b,500,0.656,0.784,85,21,37.443396226415096,2.582673954792027e-10
gsm8k,cot,gemma_4_e2b,phi_4_mini_reasoning,500,0.656,0.18,22,260,199.18085106382978,8.673511501754701e-53
gsm8k,cot,gemma_4_e2b,phi_4_reasoning,500,0.656,0.02,4,322,308.2484662576687,6.843580525266474e-90
gsm8k,cot,gemma_4_e2b,qwen3_30b_a3b,500,0.656,0.74,91,49,12.007142857142858,0.00048561896725776954
gsm8k,cot,gemma_4_e2b,qwen3_8b,500,0.656,0.776,100,40,24.864285714285714,4.1433964318805256e-07
gsm8k,cot,gemma_4_e4b,phi_4_mini_reasoning,500,0.784,0.18,11,313,279.63271604938274,5.285087346574575e-78
gsm8k,cot,gemma_4_e4b,phi_4_reasoning,500,0.784,0.02,1,383,378.0234375,1.95421521473305e-113
gsm8k,cot,gemma_4_e4b,qwen3_30b_a3b,500,0.784,0.74,48,70,3.73728813559322,0.052748349677391594
gsm8k,cot,gemma_4_e4b,qwen3_8b,500,0.784,0.776,50,54,0.08653846153846154,0.7687918101386728
gsm8k,cot,phi_4_mini_reasoning,phi_4_reasoning,500,0.18,0.02,8,88,65.01041666666667,3.673235528056122e-18
gsm8k,cot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.18,0.74,290,10,259.47,1.4215703358206984e-72
gsm8k,cot,phi_4_mini_reasoning,qwen3_8b,500,0.18,0.776,304,6,284.5451612903226,1.148229260016912e-81
gsm8k,cot,phi_4_reasoning,qwen3_30b_a3b,500,0.02,0.74,364,4,350.2201086956522,2.5283691448120245e-102
gsm8k,cot,phi_4_reasoning,qwen3_8b,500,0.02,0.776,380,2,372.065445026178,1.485284777335912e-110
