source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,std_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb,flops_per_token
revision_full500_v1__phi_4_mini_reasoning__gsm8k__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,zero_shot,500,75,0.15,0.12137595769138819,0.18396108063169836,8.171909705631435,0.03931835804172569,512.0,62.65508030951504,7.145148277282715,
revision_full500_v1__phi_4_reasoning__gsm8k__zero_shot__n500.csv,phi_4_reasoning,phi_4_reasoning,gsm8k,zero_shot,500,16,0.032,0.019791513626571118,0.051344869045441784,9.952158208094538,0.13658983068942274,511.978,51.45352351515439,27.305460929870605,
revision_full500_v1__gemma_4_e4b__math_l1_l3__cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,cot,238,159,0.6680672268907563,0.6059879927587606,0.7248072331305833,10.65711881070077,9.710829241230153,278.38655462184875,26.36976214792204,14.894491195678713,
revision_full500_v1__gemma_4_26b_a4b__math_l1_l3__cot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,cot,238,153,0.6428571428571429,0.5801559225686732,0.7010200194372693,17.004069260345037,12.62115944994404,384.20168067226894,22.557133101327572,48.06737232208252,
revision_full500_v1__gemma_4_e2b__math_l1_l3__cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,cot,238,138,0.5798319327731093,0.5163430775949396,0.6407846547024989,10.926556249986552,8.900645395103947,344.2226890756302,31.75053849487938,9.543148517608644,
revision_full500_v1__qwen3_30b_a3b__math_l1_l3__cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,cot,238,135,0.5672268907563025,0.5037058378868592,0.6286122524688783,26.52459329333814,10.143426259216795,693.2689075630252,26.111036095920408,57.62053298950195,
revision_full500_v1__qwen3_8b__math_l1_l3__cot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,cot,238,59,0.24789915966386555,0.1973364819527133,0.3064706792132706,13.878797989322983,5.933941925482155,668.1764705882352,48.094007203418286,15.256451606750488,
revision_full500_v1__phi_4_mini_reasoning__math_l1_l3__cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,cot,238,53,0.22268907563025211,0.1744732494626701,0.2797146278199123,16.241070313880048,0.06722235461643956,1024.0,63.05109885891516,7.145148277282715,
revision_full500_v1__gemma_4_e4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,few_shot_cot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,8.408705742779274,8.428083344630641,216.00840336134453,25.936603102301145,14.894491195678713,
revision_full500_v1__gemma_4_e2b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,few_shot_cot,238,164,0.6890756302521008,0.6276581309844386,0.7444864981410734,9.005984577107705,8.08763686249568,283.109243697479,31.728639349305876,9.543148517608644,
revision_full500_v1__qwen3_8b__math_l1_l3__few_shot_cot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,few_shot_cot,238,155,0.6512605042016807,0.5887463132592619,0.7089693900411478,11.756234976095186,5.625423908908975,563.1260504201681,47.838770579710385,15.256451606750488,
revision_full500_v1__qwen3_30b_a3b__math_l1_l3__few_shot_cot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,147,0.6176470588235294,0.5545027847106979,0.6770538734118429,23.281644309941335,10.034801759449074,605.9873949579832,25.994942505033436,57.62053298950195,
revision_full500_v1__gemma_4_26b_a4b__math_l1_l3__few_shot_cot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,few_shot_cot,238,136,0.5714285714285714,0.5079137307882221,0.632674240214749,23.14541564953803,17.486603670376585,516.7436974789916,22.325861090129383,48.06737232208252,
revision_full500_v1__phi_4_mini_reasoning__math_l1_l3__few_shot_cot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,93,0.3907563025210084,0.3309732875482386,0.4540098156236877,16.387075813768917,0.06392748825623401,1024.0,62.4892100513079,7.145148277282715,
revision_full500_v1__gemma_4_26b_a4b__math_l1_l3__zero_shot__n238.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,math_l1_l3,zero_shot,238,165,0.6932773109243697,0.6320084248855415,0.7484060848872041,13.937342519817108,12.087489036268694,310.2647058823529,22.190529071336382,48.06737232208252,
revision_full500_v1__gemma_4_e4b__math_l1_l3__zero_shot__n238.csv,gemma_4_e4b,gemma_4_e4b,math_l1_l3,zero_shot,238,150,0.6302521008403361,0.5673074889437856,0.689058811120456,11.826586796612549,10.975672398596585,307.96638655462186,26.32661845240342,14.894491195678713,
revision_full500_v1__gemma_4_e2b__math_l1_l3__zero_shot__n238.csv,gemma_4_e2b,gemma_4_e2b,math_l1_l3,zero_shot,238,147,0.6176470588235294,0.5545027847106979,0.6770538734118429,11.8507100361235,9.927968462550146,372.87394957983196,31.740411539742492,9.543148517608644,
revision_full500_v1__qwen3_30b_a3b__math_l1_l3__zero_shot__n238.csv,qwen3_30b_a3b,qwen3_30b_a3b,math_l1_l3,zero_shot,238,143,0.6008403361344538,0.53749641404586,0.6609807214877463,25.534677469288976,9.871240828613487,676.7983193277311,26.482688803496718,57.62053298950195,
revision_full500_v1__phi_4_mini_reasoning__math_l1_l3__zero_shot__n238.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,math_l1_l3,zero_shot,238,60,0.25210084033613445,0.20117133245458246,0.310905709358635,16.257176176449207,0.07566282347233433,1024.0,62.98891812568985,7.145148277282715,
revision_full500_v1__qwen3_8b__math_l1_l3__zero_shot__n238.csv,qwen3_8b,qwen3_8b,math_l1_l3,zero_shot,238,49,0.20588235294117646,0.15937986067902116,0.2617284940146268,13.652744640525775,6.307118561286079,654.2352941176471,47.86517689821621,15.256451606750488,
revision_full500_v1__qwen3_8b__truthfulqa_mc1__cot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,cot,500,495,0.99,0.9768069002442693,0.9957212461034096,5.5156998687312,0.322876075841673,254.372,46.190362801528885,15.256451606750488,
revision_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,cot,500,492,0.984,0.9687488914666058,0.9918707469666117,4.086606773592532,0.03660666760935424,256.0,62.648499568398705,7.145148277282715,
revision_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,cot,500,492,0.984,0.9687488914666058,0.9918707469666117,9.64404975812137,0.5225660198817506,252.71,26.206958455139404,57.62053298950195,
revision_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,cot,500,375,0.75,0.7102363265170449,0.785951503252179,2.500184123016894,4.136062545471865,54.182,18.911798784719007,48.06737232208252,
revision_full500_v1__gemma_4_e4b__truthfulqa_mc1__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,cot,500,314,0.628,0.5848089173303663,0.6692392515114762,2.864650740511715,4.307178513594836,74.708,25.64717295765338,14.894491195678713,
revision_full500_v1__gemma_4_e2b__truthfulqa_mc1__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,cot,500,281,0.562,0.5182029258694332,0.6048516559133346,1.2177089457511903,2.5920717569417877,38.96,31.626036048829363,9.543148517608644,
revision_full500_v1__qwen3_8b__truthfulqa_mc1__few_shot_cot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,few_shot_cot,500,493,0.986,0.9713869308622147,0.9932022102091564,5.2895505913347005,0.35627896997046365,251.642,47.58674304113983,15.256451606750488,
revision_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,500,491,0.982,0.9661483290912607,0.990501806703803,9.637860522545875,0.6690279706241371,250.386,25.978674219426374,57.62053298950195,
revision_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,500,483,0.966,0.9462286344983655,0.9786654801914678,4.086390721336008,0.031762630535729586,256.0,62.65057281866947,7.145148277282715,
revision_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,500,410,0.82,0.7839253300173655,0.851195092087241,1.7256182457357645,3.5858530170820475,36.568,16.716459999641433,48.06737232208252,
revision_full500_v1__gemma_4_e4b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,few_shot_cot,500,371,0.742,0.7019060194394218,0.7784037997771869,0.3039584188014269,1.2074621662852614,7.88,25.731511291867367,14.894491195678713,
revision_full500_v1__gemma_4_e2b__truthfulqa_mc1__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,few_shot_cot,500,259,0.518,0.4742321113679192,0.561493412375465,5.805398525014519,3.45636424375095,186.72,32.0659237958839,9.543148517608644,
revision_full500_v1__qwen3_30b_a3b__truthfulqa_mc1__zero_shot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,truthfulqa_mc1,zero_shot,500,495,0.99,0.9768069002442693,0.9957212461034096,9.7282299855873,0.7063166372788313,251.308,25.844472568624216,57.62053298950195,
revision_full500_v1__qwen3_8b__truthfulqa_mc1__zero_shot__n500.csv,qwen3_8b,qwen3_8b,truthfulqa_mc1,zero_shot,500,481,0.962,0.9414152274693561,0.9755398819441696,4.758953781008721,1.5367083519441873,228.88,48.021789896087604,15.256451606750488,
revision_full500_v1__phi_4_mini_reasoning__truthfulqa_mc1__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,500,477,0.954,0.9319222072317267,0.9691548916291838,4.225472658365965,0.031624600956519686,256.0,60.58805240695544,7.145148277282715,
revision_full500_v1__gemma_4_26b_a4b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,500,396,0.792,0.7542636968800828,0.8252836882903708,2.4853417588695885,4.094022739173119,54.142,19.082360855981417,48.06737232208252,
revision_full500_v1__gemma_4_e4b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,truthfulqa_mc1,zero_shot,500,366,0.732,0.6915162794621877,0.768946026563652,0.5462161852270365,1.8547961560571806,14.042,25.309032523009105,14.894491195678713,
revision_full500_v1__gemma_4_e2b__truthfulqa_mc1__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,truthfulqa_mc1,zero_shot,500,273,0.546,0.502174287351395,0.5891242733261424,2.6087534548938276,3.5979307742528,82.096,31.1876328892002,9.543148517608644,
