requested_model_name,dataset_name,strategy,mean_latency_sec,mean_output_tokens,mean_tokens_per_sec
phi_4_reasoning,gsm8k,few_shot_cot,9.659512542422954,,53.006337573683496
qwen3_30b_a3b,gsm8k,few_shot_cot,14.740487090053678,,24.320407400037503
qwen3_8b,gsm8k,few_shot_cot,6.67411223961776,,49.586011447207945
gemma_4_26b_a4b,gsm8k,zero_shot,8.921278915626287,,21.48036979527856
gemma_4_e2b,gsm8k,zero_shot,4.548525708297095,,32.18231450944435
gemma_4_e4b,gsm8k,zero_shot,4.930979899482942,,25.79397829585096
phi_4_mini_reasoning,gsm8k,zero_shot,8.328409769783626,,61.47829102192262
phi_4_reasoning,gsm8k,zero_shot,9.730884524437936,,52.61256873989946
qwen3_30b_a3b,gsm8k,zero_shot,14.301728598679565,,25.52142211304134
qwen3_8b,gsm8k,zero_shot,6.664486340020134,,49.59364169654977
gemma_4_26b_a4b,math_l1_l3,cot,17.412217862184058,,22.047176578725715
gemma_4_e2b,math_l1_l3,cot,10.963777954760594,,31.646359688094957
gemma_4_e4b,math_l1_l3,cot,10.832593188895022,,25.93499290010131
phi_4_mini_reasoning,math_l1_l3,cot,16.378354528324067,,62.52266629021862
phi_4_reasoning,math_l1_l3,cot,19.31796498562233,,52.65755329622634
qwen3_30b_a3b,math_l1_l3,cot,26.157213386289087,,25.95496910776366
qwen3_8b,math_l1_l3,cot,13.506101799862725,,49.80775712466249
gemma_4_26b_a4b,math_l1_l3,few_shot_cot,23.52844835767726,,21.97536618058652
gemma_4_e2b,math_l1_l3,few_shot_cot,8.969138633960686,,31.86199603846623
gemma_4_e4b,math_l1_l3,few_shot_cot,8.277709096435364,,26.349881225818415
phi_4_mini_reasoning,math_l1_l3,few_shot_cot,16.543172464416433,,61.89981208691632
phi_4_reasoning,math_l1_l3,few_shot_cot,19.38865317402705,,52.226404998946464
qwen3_30b_a3b,math_l1_l3,few_shot_cot,24.78590981945583,,24.932238402895724
qwen3_8b,math_l1_l3,few_shot_cot,11.51469215149639,,49.10775088051324
gemma_4_26b_a4b,math_l1_l3,zero_shot,14.125117558375502,,21.89264393555581
gemma_4_e2b,math_l1_l3,zero_shot,11.851079251038051,,31.726624207236004
gemma_4_e4b,math_l1_l3,zero_shot,11.952457411731242,,26.05092794256443
phi_4_mini_reasoning,math_l1_l3,zero_shot,16.28913109436506,,62.86869691548977
phi_4_reasoning,math_l1_l3,zero_shot,19.265060884533685,,52.0587168759096
qwen3_30b_a3b,math_l1_l3,zero_shot,27.391505230030344,,24.533790078943998
qwen3_8b,math_l1_l3,zero_shot,13.269592683480568,,49.693399815259085
gemma_4_26b_a4b,truthfulqa_mc1,cot,2.698226051686817,,18.600294349255584
gemma_4_e2b,truthfulqa_mc1,cot,1.2731408518621652,,31.328331969155457
gemma_4_e4b,truthfulqa_mc1,cot,2.475853190608636,,25.6673103519071
phi_4_mini_reasoning,truthfulqa_mc1,cot,4.092084291821518,,62.56534324579552
phi_4_reasoning,truthfulqa_mc1,cot,4.599569395794964,,55.16015517179609
qwen3_30b_a3b,truthfulqa_mc1,cot,9.960525780227504,,25.346716771573288
qwen3_8b,truthfulqa_mc1,cot,5.156326874433195,,49.16217451996894
gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,1.6806116192719014,,16.672531501802638
gemma_4_e2b,truthfulqa_mc1,few_shot_cot,6.020229179850396,,31.707354870067256
gemma_4_e4b,truthfulqa_mc1,few_shot_cot,0.19499655988286524,,25.26760640947134
phi_4_mini_reasoning,truthfulqa_mc1,few_shot_cot,4.142701802415257,,61.79930663318077
phi_4_reasoning,truthfulqa_mc1,few_shot_cot,4.362459821235232,,58.68669998759599
qwen3_30b_a3b,truthfulqa_mc1,few_shot_cot,9.624673757091665,,26.089072753638327
qwen3_8b,truthfulqa_mc1,few_shot_cot,5.020841891869527,,50.04716222897836
gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,2.653286907023617,,18.956329012671873
gemma_4_e2b,truthfulqa_mc1,zero_shot,2.612874216267041,,31.555025242112453
gemma_4_e4b,truthfulqa_mc1,zero_shot,0.4562858712366399,,25.507849329690497
phi_4_mini_reasoning,truthfulqa_mc1,zero_shot,4.129174618175676,,62.00198482515431
phi_4_reasoning,truthfulqa_mc1,zero_shot,4.403112735630584,,57.305918290249345
qwen3_30b_a3b,truthfulqa_mc1,zero_shot,9.906683758683815,,25.334392778367857
qwen3_8b,truthfulqa_mc1,zero_shot,4.5856980928572035,,49.729696602690815
